MNO,Code,Latitude,Longitude
Telefonica,0400051,36.747861,-3.08525
Telefonica,2805091,40.390631,-3.669794
Telefonica,2900328,36.431911,-5.149017
Telefonica,3100318,42.499242,-1.215147
Telefonica,2500312,42.784656,0.690981
Orange,ASTR9022A,43.557028,-5.925317
Orange,GALR1041R,43.627181,-8.137808
Telefonica,1500467,43.271167,-8.540444
Telefonica,3200837,41.912222,-7.242928
Vodafone,106577,41.029278,-2.279986
Telefonica,1700285,42.187511,2.304344
Telefonica,3801122,28.465036,-16.246161
Masmovil,1B1M0239,40.512844,-3.68025
Telefonica,3500080,28.276661,-13.985167
Vodafone,102069,41.708194,1.423419
Telefonica,4101024,37.386722,-5.954361
Telefonica,3500215,28.058114,-15.603244
Telefonica,2000192,43.058367,-2.178692
Telefonica,2700547,43.574278,-7.248389
Telefonica,4100681,37.356639,-5.982639
Telefonica,1700415,41.849083,3.111808
Telefonica,0800359,41.4428,1.844017
Telefonica,4400194,40.709422,-1.265136
Telefonica,2803477,40.211844,-3.579744
Vodafone,202908,41.785267,3.040853
Telefonica,1700391,42.346586,1.958314
Telefonica,3500200,28.106558,-15.415189
Telefonica,2000664,43.318081,-1.968278
Telefonica,1100059,36.72325,-6.286122
Telefonica,2803325,40.524956,-3.650958
Telefonica,1600395,39.638894,-2.519292
Telefonica,4800636,43.291233,-2.961414
Telefonica,2802543,41.007217,-3.611881
Telefonica,2400441,42.536306,-6.612361
Telefonica,2804369,40.134639,-3.650358
Telefonica,0801075,41.389289,2.183517
Telefonica,4200180,41.903264,-1.944456
Telefonica,2100437,37.292417,-6.897306
Orange,ASTR1280A,43.561722,-6.147211
Vodafone,001042,39.56755,2.657858
Telefonica,4600465,39.505156,-0.427275
Orange,EXTR0147E,38.867967,-6.953842
Telefonica,1800176,37.220131,-3.691594
Telefonica,3801271,28.489389,-16.329419
Telefonica,2000065,42.977806,-2.570525
Telefonica,3000195,37.556428,-1.376069
Orange,ANDR2524A,36.703361,-4.440861
Telefonica,1000787,39.851683,-5.631261
Orange,CATR8721P,42.259319,3.103233
Masmovil,1B1M2091,40.296339,-3.747669
Telefonica,0800069,41.395314,2.125317
Telefonica,3100103,42.678528,-1.936278
Telefonica,0802095,41.4095,2.159583
Telefonica,3700125,40.709569,-5.523464
Telefonica,2802378,40.421094,-3.702944
Telefonica,1800740,37.210592,-3.651011
Telefonica,0804562,41.583456,1.628886
Telefonica,2400593,42.424222,-6.744194
Telefonica,2805220,40.472044,-3.451114
Telefonica,4600297,39.145358,-0.521564
Telefonica,3801399,28.305689,-16.564892
Telefonica,2900100,36.608594,-4.510033
Telefonica,4101362,37.072386,-5.089542
Telefonica,4800411,43.264228,-2.904014
Vodafone,135284,37.305967,-2.277428
Telefonica,4101038,37.37775,-5.99725
Telefonica,3500984,27.919569,-15.437072
Telefonica,0805847,41.400244,2.177094
Masmovil,1B1M2208,40.030014,-3.619253
Telefonica,4500605,40.135017,-3.828797
Orange,ANDR5218B,36.609647,-6.066961
Telefonica,3900036,43.304325,-4.236919
Telefonica,1700740,42.268375,2.953617
Telefonica,2800566,40.512942,-3.739342
Telefonica,3700192,41.034583,-6.803353
Telefonica,4500812,39.836769,-4.088783
Telefonica,3300932,43.297625,-5.564981
Telefonica,1600113,39.488572,-2.156497
Orange,CATR7484A,41.082217,0.472106
Orange,CATR7050A,41.670861,2.749289
Vodafone,184526,41.627419,2.692331
Orange,ARAR9796A,40.778839,-0.760478
Vodafone,115870,36.612447,-5.081667
Vodafone,59744,27.869375,-15.39385
Telefonica,4100127,37.358361,-5.977611
Orange,CLMR5336A,38.988833,-3.379611
Telefonica,0300971,37.854781,-0.780792
Orange,VALR6418G,37.936144,-0.722383
Vodafone,197382,37.274408,-6.838453
Orange,GALR9280B,42.225656,-7.846636
Telefonica,4601200,39.470603,-0.379517
Orange,ANDR4695A,36.061028,-5.660167
Orange,VALR5528A,38.189786,-0.550394
Vodafone,001452,43.321164,-1.976578
Vodafone,012941,41.429222,1.784278
Orange,ANDR9710K,36.993106,-6.541264
Vodafone,171771,41.234797,1.806364
Vodafone,42905,39.469611,-0.384994
Orange,PVAR9209A,42.653481,-2.788
Telefonica,0806455,41.403497,2.023925
Vodafone,081871,39.814883,4.275114
Vodafone,203486,43.363394,-4.049514
Telefonica,0807119,41.636922,2.727408
Vodafone,028723,41.386031,2.122967
Orange,MADR1888A,40.612842,-3.703033
Orange,CYLR2400A,41.618408,-4.780897
Orange,CTBR1201E,43.437236,-3.904858
Vodafone,83619,41.634328,2.281364
Telefonica,0600109,38.9788,-5.259594
Orange,CANR5606A,28.041367,-16.542922
Orange,CANR5127A,27.801353,-15.733206
Vodafone,087393,36.884033,-5.383008
Vodafone,101424,38.992694,-6.2945
Telefonica,2805197,40.476353,-3.947475
Telefonica,2300032,37.8383,-3.083347
Orange,CYLR9640A,41.155333,-4.488622
Telefonica,4800381,43.266058,-2.958664
Orange,CLMR5365A,38.634572,-3.628572
Vodafone,189685,27.761014,-15.593433
Vodafone,014535,37.028025,-4.338797
Masmovil,1B7SA1031,40.965292,-5.678806
Orange,MADR6337A1217,40.288733,-3.756822
Orange,VALR6373T,38.604078,-0.110842
Vodafone,090487,39.247589,-0.479014
Vodafone,14780,43.506133,-5.682369
Vodafone,001132,39.548389,2.384389
Orange,CANR5804A,27.786778,-17.900333
Orange,CLMR1779A,39.778322,-4.635147
Orange,VALR1623V,40.066697,-1.230886
Orange,ARAR0082B,41.638817,-0.947819
Vodafone,64313,40.489947,-3.374844
Telefonica,2300540,38.000117,-3.921033
Orange,PVAR0869D,43.372508,-3.021344
Orange,CATR5621A,41.729725,0.546378
Vodafone,189447,37.989592,-0.699042
Orange,MADR7501A,40.717217,-3.921208
Vodafone,32183,43.451447,-3.831519
Telefonica,2500127,41.625689,0.625339
Vodafone,074504,41.610958,2.277597
Orange,CATR5319A,41.518667,0.876175
Vodafone,020063,41.666722,2.174914
Telefonica,5000585,41.645503,-0.882711
Masmovil,1B6O0055,43.518372,-5.716431
Vodafone,075550,43.400114,-2.698561
Telefonica,2803414,40.298986,-3.929131
Vodafone,171629,36.694122,-6.103136
Telefonica,0800565,41.675367,2.725219
Vodafone,60429,42.458161,-2.400217
Vodafone,93168,42.465967,-2.474086
Orange,CYLR4680A,42.984278,-3.172667
Telefonica,3600604,42.379997,-8.720006
Vodafone,086253,40.27425,-3.400342
Telefonica,4101495,37.38175,-6.130028
Vodafone,001527,42.805844,-1.635664
Telefonica,800220,41.385142,2.163083
Vodafone,14829,43.491028,-8.251778
Vodafone,143506,40.40455,-3.609056
Orange,CYLR6408D,41.009533,-6.360286
Orange,CLMR8962A,39.912689,-5.177622
Orange,CLMR8583A,39.497183,-2.847267
Vodafone,099665,40.974556,0.519453
Telefonica,0300537,37.912261,-0.724575
Masmovil,1B5J6073,38.278528,-3.608278
Vodafone,077011,39.569528,2.663611
Vodafone,065734,41.386133,2.168422
Orange,CLMR1613A,39.915108,-4.025428
Telefonica,1400332,37.618936,-4.320475
Orange,MADR1732A,40.4972,-3.338275
Orange,PVAR8646A,42.836611,-2.659756
Orange,ANDR6701A,37.717533,-4.858508
Orange,CANR5343A,28.049503,-14.350192
Orange,MADR7784A,40.456078,-3.480739
Orange,GALR6073E,42.268042,-8.758361
Vodafone,94148,40.441136,-3.784358
Masmovil,1B4A3560,38.362247,-0.479328
Vodafone,108656,28.469669,-13.987842
Telefonica,1800162,37.148347,-3.667803
Vodafone,51322,39.462533,-0.338067
Vodafone,101423,36.761206,-4.24025
Masmovil,1B2B2378,41.752114,1.900739
Vodafone,27824,40.391219,-3.760311
Vodafone,68619,28.448733,-13.86935
Orange,CATR5799A,42.166547,2.748492
Vodafone,077413,43.315094,-2.459792
Telefonica,0400228,36.809086,-2.597869
Orange,MADR0038A,40.430236,-3.721058
Vodafone,011526,42.218556,-8.736361
Orange,CTBR0179A,43.458325,-3.841431
Vodafone,028335,36.945172,-3.697108
Vodafone,073424,41.540719,2.118858
Orange,ANDR9393A,36.840142,-2.463961
Vodafone,080959,37.977889,-0.777897
Telefonica,1100145,36.296353,-5.305817
Orange,GALR0938A,42.931167,-8.159853
Vodafone,106512,40.620508,-0.100394
Orange,ANDR7031A,37.889942,-4.775228
Vodafone,2201MU,37.989461,-1.132214
Orange,GALR8770G,42.157653,-7.963056
Telefonica,4600328,39.443656,-0.389261
Vodafone,117780,37.544417,-2.625861
Telefonica,0802379,41.58115,1.61305
Vodafone,26494,36.706822,-3.489444
